Episode,Action Sequence,Total Reward,Steps Taken,Weights
43,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.57305435 -4.15483009 -2.69015521]
  [-2.56367118 -1.98610075 -2.74616283 -2.01101359]
  [-1.5084936  -1.47833789 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775    -0.38347698]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.66327644 -1.8769873  -1.72457705]
  [-1.46696355 -0.59893241 -1.40742528 -1.240637  ]
  [-1.07802678  3.35312251 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 10.81385384]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       18.80196115]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.40492007]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
44,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417e+00 -2.60521980e+00 -4.15483009e+00 -2.69015521e+00]
  [-2.56367118e+00 -2.03776125e+00 -2.74616283e+00 -2.01101359e+00]
  [-1.50849360e+00 -1.45835660e+00 -2.71931377e+00 -1.51884408e+00]
  [-1.35788802e+00 -7.45142065e-01 -1.40775000e+00 -2.32838965e-02]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  1.19972000e+00]]

 [[-3.27425244e+00 -2.14331899e+00 -2.47683398e+00 -2.10226361e+00]
  [-2.18288188e+00 -1.66327644e+00 -1.87698730e+00 -1.72457705e+00]
  [-1.46696355e+00 -5.98932412e-01 -1.40742528e+00 -1.24063700e+00]
  [-1.07802678e+00  4.16002440e+00 -7.52630537e-01  1.44147636e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  1.15800405e+01]]

 [[-2.73629206e+00 -1.78123349e+00 -1.56497904e+00 -1.60310665e+00]
  [-1.41807614e+00 -1.33341390e+00 -1.53007124e+00 -7.74182263e-01]
  [-8.38789615e-01 -6.70835315e-01 -1.24980057e+00 -2.67986452e-01]
  [-6.89366639e-01  5.88189280e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.91263312e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.53955029e+00 -1.22350113e+00]
  [-9.18554288e-01  2.05042073e+00 -1.03745040e+00 -5.51717146e-02]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  8.91584988e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.44941821e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  4.58729583e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.75828934e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.40310117e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
45,"[np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417e+00 -2.63592366e+00 -4.15483009e+00 -2.69015521e+00]
  [-2.56367118e+00 -2.03776125e+00 -2.74616283e+00 -2.08390387e+00]
  [-1.50849360e+00 -1.45835660e+00 -2.71931377e+00 -1.51884408e+00]
  [-1.35788802e+00 -7.45142065e-01 -1.40775000e+00 -2.32838965e-02]
  [-5.98352916e-01 -2.00373806e+00 -1.38750000e+00  1.19972000e+00]]

 [[-3.27425244e+00 -2.14331899e+00 -2.47683398e+00 -2.10226361e+00]
  [-2.18288188e+00 -1.64464085e+00 -1.87698730e+00 -1.72457705e+00]
  [-1.46696355e+00 -9.74892569e-02 -1.40742528e+00 -1.24063700e+00]
  [-1.07802678e+00  4.94932621e+00 -7.52630537e-01  1.44147636e-01]
  [-1.50000000e-01 -1.29360303e+00 -3.17696250e-01  1.22750891e+01]]

 [[-2.73629206e+00 -1.78123349e+00 -1.56497904e+00 -1.60310665e+00]
  [-1.41807614e+00 -1.33341390e+00 -1.53007124e+00 -7.74182263e-01]
  [-8.38789615e-01 -6.70835315e-01 -1.24980057e+00 -2.67986452e-01]
  [-6.89366639e-01  5.88189280e+00 -6.52866553e-01 -4.78955625e-01]
  [-1.50000000e-01  0.00000000e+00 -1.50000000e-01  1.94140961e+01]]

 [[-2.07542116e+00 -1.03395580e+00 -1.53955029e+00 -1.22350113e+00]
  [-9.18554288e-01  2.05042073e+00 -1.03745040e+00 -5.51717146e-02]
  [-7.45184784e-01 -4.47930094e-01 -7.55922435e-01  8.91584988e+00]
  [-5.27893041e-01  1.20375000e-01 -4.26196072e-01 -2.77500000e-01]
  [-1.70250000e-01  0.00000000e+00 -1.50000000e-01  2.45700548e+01]]

 [[-2.00128528e+00 -7.93751982e-01 -1.05155888e+00 -2.07320492e+00]
  [-4.72306177e-01  4.58729583e+00 -7.07797720e-01 -1.40775000e+00]
  [-1.50000000e-01  1.75828934e+01 -3.32175000e-01 -1.38750000e+00]
  [ 0.00000000e+00  2.40310117e+01 -4.23337500e-01 -1.38750000e+00]
  [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]]]"
46,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.66563288 -4.15483009 -2.69015521]
  [-2.56367118 -2.07897521 -2.74616283 -2.08390387]
  [-1.5084936  -1.39274644 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     0.49836773]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.64464085 -1.8769873  -1.72457705]
  [-1.46696355 -0.09748926 -1.40742528 -1.240637  ]
  [-1.07802678  5.71406431 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 12.90472875]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       19.66893907]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.63454654]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
47,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.6964496  -4.15483009 -2.69015521]
  [-2.56367118 -2.1051497  -2.74616283 -2.08390387]
  [-1.5084936  -1.26655483 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     1.04501125]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.14331899 -2.47683398 -2.10226361]
  [-2.18288188 -1.64464085 -1.8769873  -1.72457705]
  [-1.46696355 -0.09748926 -1.40742528 -1.240637  ]
  [-1.07802678  6.44909305 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 13.47432621]]

 [[-2.73629206 -1.78123349 -1.56497904 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       19.89426199]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.68936456]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
48,"[np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",16,10,"[[[-3.73076417 -2.6964496  -4.15483009 -2.72043751]
  [-2.56367118 -2.1051497  -2.74616283 -2.08390387]
  [-1.5084936  -1.26655483 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     1.04501125]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.14819624]
  [-2.18288188 -1.56110577 -1.8769873  -1.72457705]
  [-1.46696355  0.63776169 -1.40742528 -1.240637  ]
  [-1.07802678  7.15076313 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 13.98890265]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.09318691]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.73595988]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
49,"[np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.72330919 -4.15483009 -2.72043751]
  [-2.56367118 -2.1051497  -2.74616283 -2.13206757]
  [-1.5084936  -1.26655483 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     1.04501125]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.14819624]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  7.81665052 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 14.45314748]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.60310665]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.26856346]]

 [[-2.07542116 -1.0339558  -1.53955029 -1.22350113]
  [-0.91855429  2.05042073 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  8.91584988]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.77556589]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       17.58289339 -0.332175   -1.3875    ]
  [ 0.         24.03101172 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
50,"[np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[-3.73076417 -2.72330919 -4.15483009 -2.75237838]
  [-2.56367118 -2.1051497  -2.74616283 -2.13206757]
  [-1.5084936  -1.26655483 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     1.04501125]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.1923862 ]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  7.81665052 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 14.45314748]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65222468]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.26856346]]

 [[-2.07542116 -0.75205563 -1.53955029 -1.22350113]
  [-0.91855429  2.79649735 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  9.802163  ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.77556589]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.03964596 -0.332175   -1.3875    ]
  [ 0.         24.17635996 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
51,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.74900802 -4.15483009 -2.75237838]
  [-2.56367118 -2.11036214 -2.74616283 -2.13206757]
  [-1.5084936  -1.08549509 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     1.79350738]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.1923862 ]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  8.44532785 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 14.87143143]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65222468]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.42298033]]

 [[-2.07542116 -0.75205563 -1.53955029 -1.22350113]
  [-0.91855429  2.79649735 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  9.802163  ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.80923101]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.03964596 -0.332175   -1.3875    ]
  [ 0.         24.17635996 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
52,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.7715557  -4.15483009 -2.75237838]
  [-2.56367118 -2.09034966 -2.74616283 -2.13206757]
  [-1.5084936  -0.83054733 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     2.51460053]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.1923862 ]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  9.03617191 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 15.24781906]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65222468]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.55877947]]

 [[-2.07542116 -0.75205563 -1.53955029 -1.22350113]
  [-0.91855429  2.79649735 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244  9.802163  ]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.83784636]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.03964596 -0.332175   -1.3875    ]
  [ 0.         24.17635996 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
53,"[np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[-3.73076417 -2.7715557  -4.15483009 -2.78549376]
  [-2.56367118 -2.09034966 -2.74616283 -2.13206757]
  [-1.5084936  -0.83054733 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     2.51460053]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.23657861]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  9.03617191 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 15.24781906]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.55877947]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.83784636]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
54,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.78801955 -4.15483009 -2.78549376]
  [-2.56367118 -2.0389211  -2.74616283 -2.13206757]
  [-1.5084936  -0.51649416 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     3.20729366]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.19384765 -2.47683398 -2.23657861]
  [-2.18288188 -1.39084207 -1.8769873  -1.72457705]
  [-1.46696355  1.35745046 -1.40742528 -1.240637  ]
  [-1.07802678  9.5892017  -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 15.58608143]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.67807181]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.8621694 ]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
55,"[np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.78801955 -4.15483009 -2.81383913]
  [-2.56367118 -2.0389211  -2.74616283 -2.13206757]
  [-1.5084936  -0.51649416 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     3.20729366]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.20253419 -2.47683398 -2.23657861]
  [-2.18288188 -1.14895995 -1.8769873  -1.72457705]
  [-1.46696355  2.29837512 -1.40742528 -1.240637  ]
  [-1.07802678 10.10494244 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 15.88970891]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.78275391]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.88284399]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
56,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.79507097 -4.15483009 -2.81383913]
  [-2.56367118 -1.95280964 -2.74616283 -2.13206757]
  [-1.5084936  -0.15603539 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     3.94036684]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.20253419 -2.47683398 -2.23657861]
  [-2.18288188 -1.14895995 -1.8769873  -1.72457705]
  [-1.46696355  2.29837512 -1.40742528 -1.240637  ]
  [-1.07802678 10.58431177 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 16.16192435]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.87452476]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.90041739]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
57,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.78943962 -4.15483009 -2.81383913]
  [-2.56367118 -1.83095298 -2.74616283 -2.13206757]
  [-1.5084936   0.24931944 -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     4.62819391]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.20253419 -2.47683398 -2.23657861]
  [-2.18288188 -1.14895995 -1.8769873  -1.72457705]
  [-1.46696355  2.29837512 -1.40742528 -1.240637  ]
  [-1.07802678 11.0285248  -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 16.40569654]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       20.95490239]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.91535479]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
58,"[np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3)]",18,8,"[[[-3.73076417 -2.76820233 -4.15483009 -2.81383913]
  [-2.56367118 -1.6726519  -2.74616283 -2.13206757]
  [-1.5084936   0.6867277  -2.71931377 -1.51884408]
  [-1.35788802 -0.74514206 -1.40775     5.27281567]
  [-0.59835292 -2.00373806 -1.3875      1.19972   ]]

 [[-3.27425244 -2.20253419 -2.47683398 -2.23657861]
  [-2.18288188 -1.14895995 -1.8769873  -1.72457705]
  [-1.46696355  2.29837512 -1.40742528 -1.240637  ]
  [-1.07802678 11.43901511 -0.75263054  0.14414764]
  [-0.15       -1.29360303 -0.31769625 16.62375388]]

 [[-2.73629206 -1.78123349 -1.76958025 -1.65591849]
  [-1.41807614 -1.3334139  -1.53007124 -0.77418226]
  [-0.83878962 -0.67083532 -1.24980057 -0.26798645]
  [-0.68936664  5.8818928  -0.65286655 -0.47895562]
  [-0.15        0.         -0.15       21.02523993]]

 [[-2.07542116 -0.41172015 -1.53955029 -1.22350113]
  [-0.91855429  3.55031476 -1.0374504  -0.05517171]
  [-0.74518478 -0.44793009 -0.75592244 10.61719076]
  [-0.52789304  0.120375   -0.42619607 -0.2775    ]
  [-0.17025     0.         -0.15       24.92805157]]

 [[-2.00128528 -0.79375198 -1.05155888 -2.07320492]
  [-0.47230618  4.58729583 -0.70779772 -1.40775   ]
  [-0.15       18.44750766 -0.332175   -1.3875    ]
  [ 0.         24.29990597 -0.4233375  -1.3875    ]
  [ 0.          0.          0.          0.        ]]]"
