Episode,Action Sequence,Total Reward,Steps Taken,Weights
32,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.15062181 -1.32884347
 -0.95948977 -0.37979223 40.13820146 10.41892467  6.01289169 12.74644253
 19.80964551 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.35144687  3.36363768  8.53927547 13.76020464 -2.00154228 -1.53687469
 26.79305758 -1.15129579 -1.18853992 -0.60621853]"
33,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.34980728 -1.32884347
 -0.95948977 -0.37979223 40.20499262 10.61811015  6.07965466 12.75570383
 19.8004124  -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.24653461  3.45842467  8.56112042 13.72438125 -2.00154228 -1.53687469
 26.97877839 -1.15129579 -1.18853992 -0.60621853]"
34,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.52847258 -1.32884347
 -0.95948977 -0.37979223 40.25910865 10.79677544  6.13665159 12.76147409
 19.79176125 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.14734877  3.53924276  8.57236209 13.68864785 -2.00154228 -1.53687469
 27.13429059 -1.15129579 -1.18853992 -0.60621853]"
35,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.68792252 -1.32884347
 -0.95948977 -0.37979223 40.30258136 10.95622538  6.18506622 12.76452789
 19.78376552 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -1.05446304  3.60721759  8.57504797 13.65410275 -2.00154228 -1.53687469
 27.26329193 -1.15129579 -1.18853992 -0.60621853]"
36,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.82949223 -1.32884347
 -0.95948977 -0.37979223 40.33716594 11.0977951   6.22597883 12.76550465
 19.77646074 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.96826859  3.66352413  8.57100775 13.62155686 -2.00154228 -1.53687469
 27.36920681 -1.15129579 -1.18853992 -0.60621853]"
37,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 10.95452579 -1.32884347
 -0.95948977 -0.37979223 40.36437126 11.22282866  6.26036765 12.76492783
 19.76985406 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.88899064  3.70935429  8.56185204 13.59157399 -2.00154228 -1.53687469
 27.45517633 -1.15129579 -1.18853992 -0.60621853]"
38,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.06435769 -1.32884347
 -0.95948977 -0.37979223 40.38548803 11.33266056  6.28911219 12.76322221
 19.76393191 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.81670686  3.74588927  8.5489768  13.56450967 -2.00154228 -1.53687469
 27.52405553 -1.15129579 -1.18853992 -0.60621853]"
39,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.16029702 -1.32884347
 -0.95948977 -0.37979223 40.40161486 11.42859989  6.31299804 12.76072908
 19.75866602 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.75136662  3.77427681  8.53357233 13.54054742 -2.00154228 -1.53687469
 27.5784166  -1.15129579 -1.18853992 -0.60621853]"
40,"[1, 3, 3, 3, 3, 1, 1, 1]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.24361424 -1.32884347
 -0.95948977 -0.37979223 40.41368208 11.5119171   6.33272254 12.75771954
 19.75401827 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.6928105   3.79561296  8.51663575 13.51973221 -2.00154228 -1.53687469
 27.62055707 -1.15129579 -1.18853992 -0.60621853]"
41,"[np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[-1.62236736 -1.99670778 -1.46836415 -0.28895933 -0.84230402 -3.11686452
 -1.27632158 -0.83725357 -0.4499237  -0.53833926 11.31553032 -1.32884347
 -0.95948977 -0.37979223 40.42247339 11.58383319  6.34890106 12.75440617
 19.74994443 -1.36720661 -1.98060688 -1.42117073 -1.22112798 -0.38160477
 -0.21969864 -1.47090434 -0.84150809 -0.88049882 -0.94539368 -1.08590407
 -0.64078953  3.81092817  8.49898584 13.5020005  -2.00154228 -1.53687469
 27.65251163 -1.15129579 -1.18853992 -0.60621853]"
